N,Mario,Icarus
0,0.8421052631578947,0.15789473684210525
1,1.0,0.0
2,0.5925925925925926,0.4074074074074074
3,0.9642857142857143,0.03571428571428571
4,0.8275862068965517,0.1724137931034483
5,0.9166666666666666,0.08333333333333333
6,0.8518518518518519,0.14814814814814814
7,0.8148148148148148,0.18518518518518517
8,1.0,0.0
9,0.3793103448275862,0.6206896551724138
10,0.6551724137931034,0.3448275862068966
11,0.7037037037037037,0.2962962962962963
12,1.0,0.0
13,0.09523809523809523,0.9047619047619048
14,0.9166666666666666,0.08333333333333333
15,0.5925925925925926,0.4074074074074074
16,0.6666666666666666,0.3333333333333333
17,0.9411764705882353,0.058823529411764705
18,0.9,0.1
19,0.9166666666666666,0.08333333333333333
20,0.8571428571428571,0.14285714285714285
21,0.7297297297297297,0.2702702702702703
22,0.9583333333333334,0.041666666666666664
23,1.0,0.0
24,0.2962962962962963,0.7037037037037037
25,0.0,1.0
26,0.8636363636363636,0.13636363636363635
27,0.13333333333333333,0.8666666666666667
28,0.76,0.24
29,0.8947368421052632,0.10526315789473684
30,0.782608695652174,0.21739130434782608
31,0.5769230769230769,0.4230769230769231
32,0.95,0.05
33,0.84,0.16
34,0.6666666666666666,0.3333333333333333
35,0.92,0.08
36,0.8461538461538461,0.15384615384615385
37,0.39285714285714285,0.6071428571428571
38,0.13333333333333333,0.8666666666666667
39,0.7368421052631579,0.2631578947368421
40,0.8260869565217391,0.17391304347826086
41,0.875,0.125
42,0.8,0.2
43,1.0,0.0
44,0.7,0.3
45,0.8076923076923077,0.19230769230769232
46,0.7333333333333333,0.26666666666666666
47,0.56,0.44
48,0.7916666666666666,0.20833333333333334
49,0.6538461538461539,0.34615384615384615
50,1.0,0.0
51,0.3103448275862069,0.6896551724137931
52,0.9090909090909091,0.09090909090909091
53,0.95,0.05
54,0.8260869565217391,0.17391304347826086
55,0.7894736842105263,0.21052631578947367
56,0.7307692307692307,0.2692307692307692
57,0.8518518518518519,0.14814814814814814
58,0.8333333333333334,0.16666666666666666
59,0.8484848484848485,0.15151515151515152
60,0.84,0.16
61,0.96,0.04
62,0.9166666666666666,0.08333333333333333
63,1.0,0.0
64,0.7241379310344828,0.27586206896551724
65,0.9,0.1
66,0.3235294117647059,0.6764705882352942
67,0.8518518518518519,0.14814814814814814
68,0.5625,0.4375
69,0.9473684210526315,0.05263157894736842
70,1.0,0.0
71,1.0,0.0
72,1.0,0.0
73,0.6666666666666666,0.3333333333333333
74,0.19444444444444445,0.8055555555555556
75,0.43333333333333335,0.5666666666666667
76,0.5,0.5
77,0.8260869565217391,0.17391304347826086
78,0.9444444444444444,0.05555555555555555
79,0.3793103448275862,0.6206896551724138
80,0.8,0.2
81,0.6071428571428571,0.39285714285714285
82,0.88,0.12
83,0.8529411764705882,0.14705882352941177
84,0.6666666666666666,0.3333333333333333
85,0.6052631578947368,0.39473684210526316
86,0.8,0.2
87,0.8695652173913043,0.13043478260869565
88,0.75,0.25
89,0.92,0.08
90,0.9047619047619048,0.09523809523809523
91,0.7619047619047619,0.23809523809523808
92,0.8181818181818182,0.18181818181818182
93,0.7894736842105263,0.21052631578947367
94,0.9230769230769231,0.07692307692307693
95,1.0,0.0
96,0.9545454545454546,0.045454545454545456
97,0.3103448275862069,0.6896551724137931
98,0.85,0.15
99,0.7307692307692307,0.2692307692307692
